student_id,Frame,Emotions,Main Emotion,Region,Face Position
pnAvdH03UCcuuJfrt2jv,780,"{'angry': 0.04630571638699621, 'disgust': 2.208590732175053e-10, 'fear': 0.09586430387571454, 'happy': 82.48276710510254, 'sad': 13.54864090681076, 'surprise': 0.0659465731587261, 'neutral': 3.760477527976036}",happy,"{'x': 609, 'y': 490, 'w': 24, 'h': 30, 'left_eye': (627, 501), 'right_eye': (617, 502)}","{'pitch': -9.493253707885742, 'yaw': 8.964710235595703, 'roll': -4.1266632080078125}"
lcZXTRvsQHCo3tJjbOfc,780,"{'angry': 7.032033056020737, 'disgust': 0.0023413927920046262, 'fear': 8.463814109563828, 'happy': 0.07411575061269104, 'sad': 47.47024178504944, 'surprise': 0.004881012500845827, 'neutral': 36.95257008075714}",sad,"{'x': 759, 'y': 482, 'w': 25, 'h': 35, 'left_eye': (776, 496), 'right_eye': (765, 496)}","{'pitch': -18.9035587310791, 'yaw': 20.98557472229004, 'roll': -4.990040302276611}"
HRnEUsOUUy7KEXHqUAGf,840,"{'angry': 0.035493520341427345, 'disgust': 1.5887970706261947e-09, 'fear': 85.2401247763708, 'happy': 6.618684661827609e-06, 'sad': 14.43495538443061, 'surprise': 0.0005167996131321883, 'neutral': 0.28890228689624586}",fear,"{'x': 533, 'y': 609, 'w': 55, 'h': 64, 'left_eye': (575, 632), 'right_eye': (552, 640)}","{'pitch': -16.687143325805664, 'yaw': -15.066337585449219, 'roll': -16.250240325927734}"
P6gF42vwzA2PjCkJPDLz,840,"{'angry': 46.63650095462799, 'disgust': 0.005357589179766364, 'fear': 0.5512685514986515, 'happy': 30.859285593032837, 'sad': 0.19323609303683043, 'surprise': 0.0008000126399565488, 'neutral': 21.753554046154022}",angry,"{'x': 1463, 'y': 600, 'w': 57, 'h': 57, 'left_eye': (1508, 626), 'right_eye': (1486, 625)}","{'pitch': -33.99248504638672, 'yaw': -1.4431527853012085, 'roll': 2.719656467437744}"
TjABtUgRwT3xhUDKze4Q,840,"{'angry': 0.8330218493938446, 'disgust': 2.3599456255851692e-05, 'fear': 0.002561757901275996, 'happy': 77.13363766670227, 'sad': 0.24574189446866512, 'surprise': 0.004300738874007948, 'neutral': 21.78070992231369}",happy,"{'x': 1251, 'y': 587, 'w': 50, 'h': 64, 'left_eye': (1293, 614), 'right_eye': (1273, 613)}","{'pitch': -13.803154945373535, 'yaw': -18.06231689453125, 'roll': 10.086036682128906}"
lcZXTRvsQHCo3tJjbOfc,840,"{'angry': 8.29220761610315, 'disgust': 0.0007144222734681335, 'fear': 0.14832609751529083, 'happy': 0.10117276709066433, 'sad': 15.294032710434957, 'surprise': 0.004776076378225245, 'neutral': 76.15877247803047}",neutral,"{'x': 761, 'y': 482, 'w': 27, 'h': 37, 'left_eye': (781, 498), 'right_eye': (769, 498)}","{'pitch': -16.463668823242188, 'yaw': -12.696511268615723, 'roll': -3.8014354705810547}"
pnAvdH03UCcuuJfrt2jv,840,"{'angry': 1.4882222705019874, 'disgust': 2.745581925592052e-07, 'fear': 1.3803622576810275, 'happy': 90.9281009988845, 'sad': 0.5397328962971506, 'surprise': 5.432037960412381, 'neutral': 0.23153905274206715}",happy,"{'x': 610, 'y': 490, 'w': 23, 'h': 30, 'left_eye': (627, 502), 'right_eye': (617, 502)}","{'pitch': -16.0897216796875, 'yaw': -12.269396781921387, 'roll': -0.5024054646492004}"
P6gF42vwzA2PjCkJPDLz,900,"{'angry': 0.21395457442849874, 'disgust': 3.883079102706688e-05, 'fear': 0.0474569242214784, 'happy': 1.6030313447117805, 'sad': 1.5460089780390263, 'surprise': 0.01663186412770301, 'neutral': 96.5728759765625}",neutral,"{'x': 1406, 'y': 548, 'w': 47, 'h': 57, 'left_eye': (1443, 571), 'right_eye': (1423, 572)}","{'pitch': -6.033227443695068, 'yaw': -2.0207579135894775, 'roll': -0.16137735545635223}"
HRnEUsOUUy7KEXHqUAGf,960,"{'angry': 7.189628481864929, 'disgust': 5.792468501381043e-10, 'fear': 38.09206485748291, 'happy': 0.5792674142867327, 'sad': 2.3060325533151627, 'surprise': 10.357705503702164, 'neutral': 41.47529900074005}",neutral,"{'x': 543, 'y': 601, 'w': 52, 'h': 66, 'left_eye': (585, 624), 'right_eye': (564, 631)}","{'pitch': -17.05827522277832, 'yaw': -29.472658157348633, 'roll': -14.366005897521973}"
TjABtUgRwT3xhUDKze4Q,960,"{'angry': 4.8527806584967644e-05, 'disgust': 5.573738343522438e-13, 'fear': 0.014163609245272338, 'happy': 1.674027871598065e-06, 'sad': 99.9853968602892, 'surprise': 5.4853532639716576e-15, 'neutral': 0.0003875534282973631}",sad,"{'x': 1271, 'y': 615, 'w': 46, 'h': 54, 'left_eye': (1311, 641), 'right_eye': (1300, 642)}","{'pitch': -31.382659912109375, 'yaw': -56.09917068481445, 'roll': 20.955442428588867}"
P6gF42vwzA2PjCkJPDLz,960,"{'angry': 4.321879893541336, 'disgust': 0.07127574644982815, 'fear': 2.1745195612311363, 'happy': 20.596204698085785, 'sad': 7.270313054323196, 'surprise': 0.003999026739620604, 'neutral': 65.56180715560913}",neutral,"{'x': 1476, 'y': 593, 'w': 49, 'h': 62, 'left_eye': (1519, 617), 'right_eye': (1506, 619)}","{'pitch': -13.28538990020752, 'yaw': -43.68387222290039, 'roll': 2.0850160121917725}"
lcZXTRvsQHCo3tJjbOfc,960,"{'angry': 0.019312812946736813, 'disgust': 9.626983455204852e-13, 'fear': 99.9288558959961, 'happy': 0.03547965025063604, 'sad': 0.00905296765267849, 'surprise': 0.0015762650946271606, 'neutral': 0.005726010203943588}",fear,"{'x': 762, 'y': 482, 'w': 28, 'h': 36, 'left_eye': (783, 496), 'right_eye': (771, 497)}","{'pitch': -11.42531681060791, 'yaw': -41.241188049316406, 'roll': -1.5435826778411865}"
